Name;Station;Time(norwegian mean time);Air temperature, °c;Precipitation (1 h), mm;Mean wind speed, m/s;Relative air humidity, percent
Bergen - Florida;SN50540;01.01.2024 01:00;5;0;7.9;45
Bergen - Florida;SN50540;01.01.2024 02:00;5.1;0;5.7;44
Bergen - Florida;SN50540;01.01.2024 03:00;4.3;0;6.7;45
Bergen - Florida;SN50540;01.01.2024 04:00;3.6;0;12.4;44
Bergen - Florida;SN50540;01.01.2024 05:00;3.3;0;13.1;46
Bergen - Florida;SN50540;01.01.2024 06:00;4.9;0;9.4;42
Bergen - Florida;SN50540;01.01.2024 07:00;5;0;2.6;42
Bergen - Florida;SN50540;01.01.2024 08:00;5.1;0;4.3;41
Bergen - Florida;SN50540;01.01.2024 09:00;3.8;0;11.7;43
Bergen - Florida;SN50540;01.01.2024 10:00;4.3;0;10;41
Bergen - Florida;SN50540;01.01.2024 11:00;5.5;0;6;40
Bergen - Florida;SN50540;01.01.2024 12:00;4.1;0;8.8;41
Bergen - Florida;SN50540;01.01.2024 13:00;4.7;0;4.9;39
Bergen - Florida;SN50540;01.01.2024 14:00;4.5;0;6.9;44
Bergen - Florida;SN50540;01.01.2024 15:00;3.7;0;6.5;62
Bergen - Florida;SN50540;01.01.2024 16:00;2.9;0;8.8;62
Bergen - Florida;SN50540;01.01.2024 17:00;3.7;0;8.7;52
Bergen - Florida;SN50540;01.01.2024 18:00;4;0;9.9;45
Bergen - Florida;SN50540;01.01.2024 19:00;4;0;6.4;43
Bergen - Florida;SN50540;01.01.2024 20:00;3.7;0;6.3;43
Bergen - Florida;SN50540;01.01.2024 21:00;3.7;0;6.1;44
Bergen - Florida;SN50540;01.01.2024 22:00;3.4;0;6.9;44
Bergen - Florida;SN50540;01.01.2024 23:00;3.1;0;6.1;43
Bergen - Florida;SN50540;02.01.2024 00:00;3.5;0;6.1;42
Bergen - Florida;SN50540;02.01.2024 01:00;3.6;0;5.9;43
Bergen - Florida;SN50540;02.01.2024 02:00;4.1;0;8.1;40
Bergen - Florida;SN50540;02.01.2024 03:00;3.8;0;5.8;40
Bergen - Florida;SN50540;02.01.2024 04:00;3.6;0;5.9;40
Bergen - Florida;SN50540;02.01.2024 05:00;3.6;0;4.8;40
Bergen - Florida;SN50540;02.01.2024 06:00;3.2;0;8.6;40
Bergen - Florida;SN50540;02.01.2024 07:00;3.3;0;8;40
Bergen - Florida;SN50540;02.01.2024 08:00;3.2;0;8.9;40
Bergen - Florida;SN50540;02.01.2024 09:00;2.9;0;10.7;39
Bergen - Florida;SN50540;02.01.2024 10:00;3;0;9.3;39
Bergen - Florida;SN50540;02.01.2024 11:00;2.6;0;9.5;38
Bergen - Florida;SN50540;02.01.2024 12:00;2.8;0;11.1;39
Bergen - Florida;SN50540;02.01.2024 13:00;2.2;0;10.9;39
Bergen - Florida;SN50540;02.01.2024 14:00;1.9;0;12.9;38
Bergen - Florida;SN50540;02.01.2024 15:00;1.5;0;10.4;38
Bergen - Florida;SN50540;02.01.2024 16:00;1.2;0;12.6;37
Bergen - Florida;SN50540;02.01.2024 17:00;1.3;0;11.3;38
Bergen - Florida;SN50540;02.01.2024 18:00;0.7;0;5.8;42
Bergen - Florida;SN50540;02.01.2024 19:00;0.6;0;5;42
Bergen - Florida;SN50540;02.01.2024 20:00;0.1;0;10.8;41
Bergen - Florida;SN50540;02.01.2024 21:00;0;0;10.2;40
Bergen - Florida;SN50540;02.01.2024 22:00;-0.1;0;6.3;36
Bergen - Florida;SN50540;02.01.2024 23:00;-0.3;0;6.6;33
Bergen - Florida;SN50540;03.01.2024 00:00;-0.3;0;15.3;31
Bergen - Florida;SN50540;03.01.2024 01:00;-0.3;0;13.6;31
Bergen - Florida;SN50540;03.01.2024 02:00;-0.4;0;14;31
Bergen - Florida;SN50540;03.01.2024 03:00;-0.7;0;12.2;32
Bergen - Florida;SN50540;03.01.2024 04:00;-1;0;11.3;33
Bergen - Florida;SN50540;03.01.2024 05:00;-0.6;0;10.8;33
Bergen - Florida;SN50540;03.01.2024 06:00;-0.6;0;10.6;32
Bergen - Florida;SN50540;03.01.2024 07:00;-0.6;0;10.1;31
Bergen - Florida;SN50540;03.01.2024 08:00;-0.6;0;8.5;31
Bergen - Florida;SN50540;03.01.2024 09:00;-0.7;0;8.7;31
Bergen - Florida;SN50540;03.01.2024 10:00;-0.8;0;7.1;31
Bergen - Florida;SN50540;03.01.2024 11:00;-0.7;0;8.2;31
Bergen - Florida;SN50540;03.01.2024 12:00;-0.9;0;8.4;32
Bergen - Florida;SN50540;03.01.2024 13:00;-0.8;0;7.7;32
Bergen - Florida;SN50540;03.01.2024 14:00;-0.9;0;7.2;31
Bergen - Florida;SN50540;03.01.2024 15:00;-1.1;0;7.1;30
Bergen - Florida;SN50540;03.01.2024 16:00;-1.3;0;5.7;32
Bergen - Florida;SN50540;03.01.2024 17:00;-1.2;0;3.7;30
Bergen - Florida;SN50540;03.01.2024 18:00;-1.8;0;3;32
Bergen - Florida;SN50540;03.01.2024 19:00;-2.3;0;0.8;37
Bergen - Florida;SN50540;03.01.2024 20:00;-2.6;0;0.5;38
Bergen - Florida;SN50540;03.01.2024 21:00;-3.5;0;2;46
Bergen - Florida;SN50540;03.01.2024 22:00;-4;0;1.6;53
Bergen - Florida;SN50540;03.01.2024 23:00;-4.7;0;1.3;54
Bergen - Florida;SN50540;04.01.2024 00:00;-4.7;0;1.5;55
Bergen - Florida;SN50540;04.01.2024 01:00;-5.3;0;1;58
Bergen - Florida;SN50540;04.01.2024 02:00;-5.5;0;1.1;59
Bergen - Florida;SN50540;04.01.2024 03:00;-6;0;1.3;62
Bergen - Florida;SN50540;04.01.2024 04:00;-5.8;0;0.7;59
Bergen - Florida;SN50540;04.01.2024 05:00;-5.6;0;2;58
Bergen - Florida;SN50540;04.01.2024 06:00;-4.9;0;1.6;56
Bergen - Florida;SN50540;04.01.2024 07:00;-4.4;0;1.7;57
Bergen - Florida;SN50540;04.01.2024 08:00;-4.1;0;1.1;54
Bergen - Florida;SN50540;04.01.2024 09:00;-4;0;1.4;54
Bergen - Florida;SN50540;04.01.2024 10:00;-4.4;0;1;54
Bergen - Florida;SN50540;04.01.2024 11:00;-4;0;1.7;53
Bergen - Florida;SN50540;04.01.2024 12:00;-3.7;0;2.1;47
Bergen - Florida;SN50540;04.01.2024 13:00;-3.6;0;1.8;45
Bergen - Florida;SN50540;04.01.2024 14:00;-3.4;0;2.2;43
Bergen - Florida;SN50540;04.01.2024 15:00;-3.7;0;1.7;42
Bergen - Florida;SN50540;04.01.2024 16:00;-3.7;0;1.5;43
Bergen - Florida;SN50540;04.01.2024 17:00;-4;0;1.4;46
Bergen - Florida;SN50540;04.01.2024 18:00;-4.4;0;1.9;46
Bergen - Florida;SN50540;04.01.2024 19:00;-4.1;0;2.2;42
Bergen - Florida;SN50540;04.01.2024 20:00;-4.5;0;1.8;44
Bergen - Florida;SN50540;04.01.2024 21:00;-4.5;0;2.3;48
Bergen - Florida;SN50540;04.01.2024 22:00;-4.7;0;2.4;51
Bergen - Florida;SN50540;04.01.2024 23:00;-5.1;0;1.7;54
Bergen - Florida;SN50540;05.01.2024 00:00;-6;0;1.5;58
Bergen - Florida;SN50540;05.01.2024 01:00;-6.4;0;0.7;61
Bergen - Florida;SN50540;05.01.2024 02:00;-6.8;0;0.7;63
Bergen - Florida;SN50540;05.01.2024 03:00;-7.1;0;1.2;67
Bergen - Florida;SN50540;05.01.2024 04:00;-7.4;0;1.6;68
Bergen - Florida;SN50540;05.01.2024 05:00;-7.6;0;1.5;69
Bergen - Florida;SN50540;05.01.2024 06:00;-8;0;1.7;70
Bergen - Florida;SN50540;05.01.2024 07:00;-7.7;0;1.3;68
Bergen - Florida;SN50540;05.01.2024 08:00;-7.5;0;0.8;68
Bergen - Florida;SN50540;05.01.2024 09:00;-7.5;0;1.1;68
Bergen - Florida;SN50540;05.01.2024 10:00;-7.1;0;0.7;68
